Jahr;GKZ;Geschlecht;Vorname;Anzahl
2011;20534;1;Alexander;1
2011;20520;1;Joas;1
2010;20635;1;Patrick;1
2011;20402;1;Timo;1
2010;20609;2;Emely;1
2013;20702;2;Sina;1
2005;20519;1;;4
2012;20502;1;Paul;1
2010;20424;1;Clemens;1
2014;21002;2;Flora;1
2012;20913;1;Valentin;1
2009;20630;2;Mila;1
2010;20441;2;Valentina;1
2014;20307;2;Romy;1
2009;20723;2;Magdalena;1
2013;21002;2;Makbule-nisa;1
2010;20501;2;Samara;1
2013;20923;2;Nele;1
2013;20101;2;Ronja;1
2011;20101;1;Julian;4
2012;20710;2;Laura;2
2012;20711;1;Dominik;1
2011;20101;1;Lucas;1
2013;20702;2;Hannah;1
2010;20610;2;Julia;1
2008;20620;2;Janika;1
2006;20636;1;;10
2010;20419;2;Luisa;1
2012;20201;2;Isabel;1
2011;20634;2;Helen;1
2014;20201;2;Jasmin;2
2010;20101;2;Katrin;1
2009;20635;2;Fabienne;1
2012;20306;2;Sarina;1
2011;20711;1;Elias;2
2008;20201;2;Selina;1
2012;20415;2;Lea;1
2013;20607;1;Kjell;1
2013;20803;2;Anika;1
2010;20727;2;Leonie;1
2010;20913;1;Felix;3
2011;20901;2;Sophie;1
2012;20425;2;Emelie;1
2008;20307;2;Jana;1
2012;20302;2;Sarah;2
2011;20508;2;Leonie;2
2008;20412;1;Luca;1
2007;21003;2;;5
2013;20636;1;Tobias;1
2010;20418;1;Matthias;1
2014;20402;1;Paul;2
2010;20708;2;Selina;1
2012;20604;1;Michael;1
2009;20307;2;Leonie;1
2008;20306;2;Felicia;1
2011;20813;2;Nathalie;1
2008;20640;1;Matthias;1
2010;20918;1;Matthias;2
2009;20302;1;Pascal;1
2014;20619;1;Samuel;1
2010;20635;1;Sinisa;1
2013;20909;2;Jennifer;1
2014;20913;2;Hellena;1
2012;20515;1;Martin;1
2010;20201;2;Leni;1
2014;20424;1;Felix;1
2012;20101;2;Klara;3
2011;20305;1;Lorenz;1
2012;20405;1;Silvano;1
2008;20201;1;Yusuf;1
2010;20101;2;Celia;1
2008;20405;1;;5
2013;20201;2;Aliette;1
2011;20721;1;Paul;1
2008;20201;1;Timon;1
2011;20201;1;Jacob;1
2014;20702;2;Lara;1
2009;20634;2;Lea-marie;1
2010;21002;1;Alexander;1
2013;20905;2;Elena;1
2009;20702;2;Sophia;1
2008;20316;1;Elias;1
2013;20101;1;David;14
2012;20708;1;Julian;1
2009;20101;1;Francesco;1
2012;20201;1;Jacob;1
2009;20914;1;Samuel;1
2008;20643;2;Nadine;1
2009;20101;1;Luke;1
2009;20424;2;Anna;1
2008;21002;1;Lorenz;3
2008;20201;2;Sarah;4
2013;20101;2;Nadja;1
2010;20402;2;Irina;1
2009;20101;1;Morris;1
2009;20101;2;Lara-sophie;1
2014;20201;2;Avni;1
2013;20101;2;Harsirat;1
2010;20201;1;Matthias;2
2012;20808;1;Simon;1
2009;20101;1;Samo;1
2013;20442;2;Johanna;1
2011;20817;2;Sophie;2
2008;20520;1;Lukas;1
2014;20805;1;Paul;1
2011;20418;2;Emma;1
2008;21002;1;Timo;1
2010;20405;1;Florian;1
2014;20619;1;Janik;1
2004;20518;2;;10
2008;20101;1;Mohamed;2
2008;20901;2;Lilly;1
2011;20527;1;Leon;2
2009;20425;1;Noah;1
2008;20505;2;Christina;2
2013;20101;2;Lilly;1
2010;20630;2;Amelie;1
2011;20432;2;Isabella;1
2012;20527;2;Emily;1
2013;20635;2;Alexa;1
2013;20636;2;Lea;1
2013;20305;1;Leonardo;1
2014;20923;2;Mona;1
2014;20417;2;Amelie;2
2010;20725;1;Lennart;1
2008;20441;1;Andreas;1
2012;20635;2;Dilay;1
2008;20417;2;Lydia;1
2012;21001;2;Katharina;1
2012;20424;2;Marie;1
2014;20519;1;Gjevdet;1
2009;20101;2;Selina;3
2008;20505;1;Elias;1
2009;20721;1;Valentin;1
2012;20603;1;Nico;1
2010;20415;1;Julian;1
2012;20417;1;Samuel;1
2011;20534;1;Johannes;2
2013;20201;1;Philip;1
2008;20909;2;Cindy;1
2011;20913;2;Julia;1
2005;20914;2;;10
2013;20305;2;Selina;1
2014;20638;1;Benjamin;1
2012;20607;1;Felix;1
2007;20804;2;;10
2012;21005;1;Oliver;1
2013;20425;1;Samuel;1
2013;20101;1;Halid;1
2009;20515;1;Dominik;1
2014;20634;2;Magdalena;1
2007;20425;1;;15
2009;20634;1;Nedo;1
2011;20201;2;Alyson;1
2011;20635;1;Yasin;1
2014;20918;1;Fabio;1
2008;20101;2;Emilia;6
2014;20101;1;Lorenz;5
2009;20504;2;Julia;1
2009;20727;1;Felix;1
2014;20101;1;Josef;1
2012;20913;2;Anita;1
2008;20412;1;Leo;1
2011;20502;2;Kimberly;1
2011;20702;2;Vanessa;1
2012;20726;2;Melina;1
2009;20412;1;Etienne;1
2013;20635;2;Mathilda;1
2009;20627;1;Nico;1
2011;20722;2;Hanna;1
2008;20701;1;Nico;1
2012;20101;1;Tin;1
2011;20909;1;Marcel;1
2008;20101;2;Leni;1
2013;20605;1;Niklas;1
2009;20913;2;Zoe;1
2008;20918;1;Georg;1
2011;20725;2;Miriam;1
2006;20630;1;;22
2008;20201;2;Hiba;1
2013;20804;1;Jonathan;1
2012;21002;1;Julian;3
2009;20425;2;Sarah;1
2013;20721;1;Balthasar;1
2010;20101;2;Emily;4
2013;20101;1;Jasper;1
2013;20201;2;Chantal;1
2011;20905;1;Leon;2
2011;20409;1;Nicolas;1
2012;20201;2;Adriana;1
2012;20923;2;Sophie;3
2011;20409;1;Felix;1
2010;20634;1;Ben;1
2011;20711;2;Helena;1
2011;20201;2;Nathalie;1
2013;20923;2;Milena-sue;1
2011;20620;2;Helena;1
2011;20635;2;Louisa;1
2010;20101;1;Keven;1
2011;20812;1;Raphael;1
2010;20923;2;Jelena;1
2011;20724;1;Lukas;2
2008;20201;1;Fabio;1
2003;20712;2;;7
2013;20201;2;Anya;1
2011;20101;2;Maria;1
2010;20801;1;Dennis;1
2011;20711;1;Elliot;1
2013;21006;1;Christoph;1
2013;20415;1;David;1
2009;20643;1;Florian;1
2008;20711;1;Noah;2
2013;21004;1;Florian;1
2014;20912;1;Moritz;1
2014;20604;1;Felix;1
2008;20724;1;Fabian;1
2014;20101;2;Emelie;2
2010;20414;1;Sandro;1
2013;20527;2;Liliane;1
2008;20721;2;Alina;1
2003;20713;2;;2
2014;20608;1;Lenny;1
2012;20201;2;Yvone;1
2009;20635;2;Marie-sophie;1
2012;20101;2;Laurene;1
2009;20442;1;Alexander;2
2003;20419;1;;2
2009;20807;2;Naomi;1
2014;20817;1;Finlay;1
2008;20305;1;Marcel;1
2011;20405;1;Fabian;1
2009;20923;1;Felix;2
2008;20801;1;Dominik;1
2012;20909;1;Jan;1
2011;20201;2;Viyona;1
2011;20201;1;Matthias;2
2011;20909;1;Jan-luca;1
2008;20442;1;Lukas;2
2009;21004;1;Luca;1
2014;20803;1;Mathias;1
2013;21002;2;Isabella;1
2010;20428;2;Magdalena;2
2012;20611;1;Jeremias;1
2011;20813;1;Anton-janez;1
2010;20918;1;Constantin;1
2013;21005;1;Magnus;1
2008;20620;2;Johanna;2
2008;20923;1;Ismail;1
2010;20635;2;Annika;1
2008;20923;1;Claudio;1
2011;21010;2;Sophie;1
2008;20702;2;Lina;1
2013;20424;1;Rafael;1
2013;20635;2;Maja;1
2004;20302;2;;5
2011;20817;1;Luca;2
2009;20713;1;Gregor;1
2012;20201;2;Nayla;1
2010;20403;1;Julian-andreas;1
2009;20702;2;Anna-lena;1
2014;20711;2;Anna;2
2011;20722;2;Christina;1
2009;20402;2;Laura;1
2012;20719;2;Paulina;1
2014;20630;1;Adrian;1
2013;20724;2;Berenice;1
2013;20101;1;Jakob;9
2008;20603;1;Joshua;1
2012;21002;2;Emely;1
2011;20633;2;Helena;1
2009;20638;2;Emma;1
2008;20527;1;Enrique;1
2008;20634;1;Sigismund;1
2011;20405;1;Niclas;1
2012;20721;2;Julia;1
2012;20923;1;Linus;1
2010;21009;2;Anny;1
2011;20201;2;Lena;3
2009;20101;1;John-luca;1
2010;20515;2;Viktoria;1
2013;20610;2;Fabienne;1
2006;20912;1;;9
2010;20608;2;Larissa;1
2013;20428;2;Eva;1
2011;20428;2;Tabea;1
2008;20511;1;Raphael;1
2011;20611;1;David;1
2012;20534;1;Stefan;1
2012;20923;2;Anika;1
2008;20726;1;Stefan;1
2012;20527;2;Hadasa;1
2013;20201;2;Hanna;3
2013;20416;1;Lukas;1
2012;20918;1;Leon;3
2006;20905;1;;14
2010;20817;1;Matthias;2
2011;20918;1;Daniel;1
2011;20515;1;David;1
2013;20923;2;Lena;5
2011;20530;2;Valentina;1
2011;20201;2;Emma;5
2012;21002;1;Roman;1
2011;20719;2;Valentina;2
2012;20201;1;Christopher;1
2012;20101;2;Veronika;1
2008;20630;2;Marie;1
2010;20807;2;Ina;1
2010;20723;1;Jonah;1
2013;20201;2;Valentina;4
2014;20305;2;Emma;1
2011;20912;2;Marie;1
2003;20415;1;;12
2011;20909;1;Fabian;1
2013;20723;1;Emanuel;1
2011;20425;1;Marco;1
2012;20634;2;Magdalena;2
2010;20611;1;Nevio;1
2010;20502;1;Valentin;1
2008;20201;2;Helena;5
2011;20527;2;Asmin;1
2013;20101;2;Colleen;1
2011;20918;2;Sophia;1
2013;20101;1;Senaid;1
2008;20620;2;Lea;2
2010;20402;2;Melissa;1
2007;20316;2;;2
2014;20635;2;Emma;1
2012;20509;1;Elias;1
2008;20101;1;Tuna;1
2008;20923;2;Tamara;1
2008;20923;1;Richard;1
2014;20901;2;Olivia;1
2012;20530;1;Fabian;1
2014;20923;2;Leonora;1
2014;20416;2;Winona;1
2012;20727;1;Jan;1
2010;21002;1;Tobias;2
2009;20817;2;Alena;1
2014;20726;2;Melissa;1
2009;20101;1;Nicholas;1
2009;20637;1;Phillip;1
2012;20417;2;Merjem;1
2009;20909;1;Fabian;1
2014;20504;2;Ellena;1
2008;20707;1;Jonas;1
2013;20201;2;Alexa;1
2011;20643;1;Moritz;1
2012;20711;2;Julia;1
2011;20724;2;Alisa;1
2013;20635;2;Hayley;1
2012;20923;2;Safira;1
2011;20702;1;Finn;1
2011;20726;1;Elias;1
2008;20619;1;Samuel;1
2013;20201;2;Aminat;1
2013;20515;1;Maximilian;2
2009;20302;1;Konstantin;1
2008;20644;2;Selina;1
2013;20403;2;Melisa;1
2012;20201;2;Teodora;1
2013;20412;1;Alexander;1
2013;20643;2;Angelina;1
2013;20424;1;Anton;1
2009;20201;2;Anna-lena;2
2011;20101;2;Melisa;2
2011;20501;1;Elias;2
2014;20644;2;Elena;1
2008;20501;1;Luca;1
2009;20923;2;Katharina;2
2009;20817;2;Jena;1
2008;20201;1;Lukas;2
2009;20627;1;Felix;1
2013;20603;2;Selina;1
2009;21002;2;Alice;1
2011;20201;1;Daniel;2
2012;20634;2;Juliane;1
2008;20306;1;Marius;1
2011;20817;2;Valentina;1
2010;20923;2;Emily;1
2008;20414;2;Lea;1
2013;20923;1;Clemens;1
2009;20725;2;Karoline;1
2011;20637;1;Raphael;2
2012;21010;2;Theresa;1
2010;20416;2;Lara;1
2009;20320;1;Fabio;1
2008;20720;1;Nevio;1
2014;21002;1;Matthias;1
2003;20306;2;;6
2010;20419;2;Valentina;1
2012;20620;1;Martin;1
2013;20725;1;Luca;1
2008;20627;2;Emely;1
2008;20201;2;Theresa;3
2006;20725;2;;32
2008;20914;2;Lena;1
2014;20201;1;Giuliano;1
2013;20201;2;Michelle;1
2011;20923;1;Umar;1
2009;20635;2;Jana;1
2009;20509;1;Simon;1
2010;20727;1;Pascal;1
2009;20635;1;;7
2012;20913;2;Ellena;1
2011;20421;1;Liam;1
2013;20635;1;David;3
2014;20307;1;Romed;1
2014;20635;2;Nitara;1
2012;20201;1;Alejandro;1
2012;20201;1;Plamen;1
2011;20101;2;Ronja;1
2009;20635;1;Roman;1
2012;20803;2;Anna;1
2012;20808;1;Peter-adolf;1
2009;20611;2;Marie-christin;1
2009;20415;2;Nina;1
2010;21003;2;Eleyn;1
2009;20637;2;Valentina;1
2009;20101;1;Mattheus;1
2012;20813;1;Tobias;1
2011;20923;2;Hanna;3
2013;20527;1;Lennox;1
2013;21002;1;Alexander;1
2008;20808;2;Elenore;1
2013;20101;2;Anna-maria;1
2008;20631;1;Sebastian;1
2010;20509;2;Annika;1
2011;20817;1;David;1
2010;20505;1;Niklas;1
2012;20642;1;Fabian;1
2011;20201;1;Anel;2
2013;20817;2;Lilly;1
2011;20442;2;Katharina;1
2010;20817;2;Zoe;1
2012;20725;2;Helena;1
2013;20724;2;Emilia;1
2008;20530;2;Lucy;1
2011;20201;2;Ramona;1
2009;20530;1;Luca;1
2007;20808;1;;23
2011;20534;2;Manuela;1
2014;20505;2;Zoe;1
2011;20501;2;Amaira;1
2008;20901;1;Marvin;1
2009;20719;2;Julia;1
2009;20511;1;Julian;1
2005;20719;1;;6
2010;20808;2;Lena;1
2012;20635;2;Ashley;1
2014;20405;1;Kilian;1
2013;20442;2;Alina;1
2009;20101;2;Samira;1
2014;20805;2;Lea-marie;1
2009;20607;2;Marie;1
2011;21007;2;Jasmin;1
2010;20201;1;Dennis;1
2008;20634;2;Valentina;2
2008;20101;2;Franziska;2
2011;20636;1;Florian;1
2010;21002;2;Goncag?l;1
2010;21002;2;Celina;1
2011;20527;2;Adriana;1
2010;20101;2;Klara;1
2010;20635;1;Arda;1
2008;20801;1;Fabian;1
2012;20630;1;Emre;1
2014;20421;1;Simon;2
2009;20418;1;Niklas;1
2013;20813;1;Anel;1
2008;20711;1;Fabian;2
2008;20305;2;Emelie;1
2010;20442;2;Emelie;1
2011;20806;2;Eileen;1
2014;20201;2;Sarah;5
2014;20605;2;Jasmin;1
2012;20201;1;Nico;2
2011;20201;1;Ben;1
2013;20634;2;Luisa;1
2008;21004;1;Lukas;1
2008;20101;2;Melina;1
2013;20634;1;Noah;2
2012;20710;2;Cheyenne;1
2005;21010;1;;2
2013;20725;1;Manuel;1
2009;20530;2;Maria;1
2011;21003;2;Jasmin;1
2009;20201;2;Theresa;1
2012;20418;1;Thomas;1
2012;20515;1;Matthias;1
2014;20905;2;Aylin-sophie;1
2004;20435;1;;6
2009;20402;1;Felix;1
2014;20913;1;Abdullah;1
2012;20201;1;Youssef;1
2008;20636;1;Yannick;1
2011;20101;1;Aaron;1
2012;20914;1;Leon-russell;1
2014;21005;1;Gregor;1
2013;20530;1;David;1
2013;20513;1;Noel;1
2008;20722;2;Larissa;1
2010;21009;1;Moritz;1
2008;20720;1;Fabian;1
2003;20620;2;;12
2011;20101;1;Pascal;2
2012;20725;2;Emilia;1
2010;20421;2;Leonie;1
2010;21002;1;Benjamin;1
2012;21002;1;Christoph;1
2013;20534;1;Maximilian;1
2009;20803;1;Christian;1
2008;20723;2;Elisa;1
2012;20402;1;Benjamin;1
2012;20727;2;Rebeka;1
2010;20101;2;Annika;2
2014;20101;1;Jonathan;5
2009;20402;1;Max;1
2008;20616;2;Bernadette;1
2008;20306;1;Felizian;1
2009;20642;1;Lukas;1
2008;20711;1;Simon;2
2012;20101;2;Loriana;1
2010;20418;2;Katharina;1
2009;20515;1;Paul;1
2011;20610;1;Lorenz;1
2014;20918;1;Edis;1
2013;20405;1;Lorenz;1
2008;20813;1;Jonas;1
2009;20531;2;Hannah;1
2014;20201;1;Anwar;1
2010;20813;1;Bastian;1
2009;20611;1;Kilian;1
2014;20201;1;Jasir;1
2009;20101;2;Janine;1
2010;20725;1;Lorenz;1
2010;20432;2;Marina;1
2008;20501;1;Yannick;1
2014;20527;1;Markus;1
2013;20817;2;Valentina;1
2011;20703;2;Anika;1
2010;20405;2;Lucretia;1
2013;20727;1;Vincent;1
2011;20603;1;Marlon;1
2009;20527;1;Felix;2
2013;20635;1;Fabian;1
2014;20725;1;Maxime;1
2008;20725;2;Katharina;2
2014;20523;1;Fabian;1
2012;20817;1;Paul;1
2010;20101;2;Mia;9
2008;20817;2;Milena;1
2012;20637;2;Marie-lena;1
2014;20611;2;Hannah;1
2014;20817;1;Luka;1
2011;20627;1;Luca;2
2013;20101;1;Niel;1
2009;20201;1;Elias;5
2013;20101;1;Ferdinand;2
2011;20720;1;Nico;2
2014;20726;1;Jakob;1
2013;20518;2;Christina;1
2008;20417;1;Daniel;1
2013;20201;2;Kristina;1
2010;21007;1;Julian;1
2011;20705;2;Anna;1
2014;20605;2;Mia-sophie;1
2008;20201;2;Tamari;1
2005;20405;2;;19
2013;20918;2;Milena;1
2014;20201;2;Lina;3
2012;21002;1;Lukas;1
2011;20402;1;Nico;3
2008;20101;2;Anja;3
2009;20530;2;Madleine;1
2008;20201;2;Emilia;2
2007;20608;2;;14
2008;20432;2;Natalie;1
2011;20804;2;Vivien;1
2007;20622;2;;3
2013;20512;1;Leo;1
2013;20101;2;Caroline;2
2011;20523;1;Alexander;1
2003;20806;1;;8
2012;20320;1;Raphael;1
2014;20101;2;Natasa;1
2008;20635;1;Vincent;1
2010;20644;2;Emilia;1
2009;20923;2;Mara;1
2013;20923;1;Jan;1
2014;20101;1;Borak;1
2008;20520;1;Andreas;1
2013;21008;1;Georgi;1
2011;20705;1;Lennox;1
2008;20302;1;Kevin;1
2008;20101;1;Luca-noel;1
2014;20418;1;Felix;1
2013;20610;1;Christian;1
2003;20632;1;;14
2013;20201;2;Jaqueline;1
2012;20523;2;Emma;1
2012;20101;1;Laurin;1
2005;20402;1;;29
2012;20201;2;Andrea;1
2014;20101;2;Frida;1
2013;20101;2;Larissa;3
2014;20913;2;Natalie;1
2011;21007;2;Julia;1
2011;20504;1;Paul;1
2008;21003;1;;1
2011;21005;2;Theresa;1
2009;20719;1;Elias;1
2012;20201;1;Jayden;1
2010;20527;2;Lorena;1
2014;20305;1;Raphael;3
2010;20513;1;Marvin;1
2009;20813;2;Jasmin;1
2011;20418;1;Alexander;2
2011;20808;2;Anna;1
2008;21003;1;Nikolaj;1
2014;20530;1;Konstantin;1
2008;20101;2;Alicia;1
2008;20101;1;Gabriel;3
2008;20923;1;Raphael;1
2009;20817;2;Emily;1
2013;21002;1;Philip;1
2010;20711;1;Jakob;2
2008;20725;1;Sebastian;2
2009;20725;1;Adrian;1
2013;21002;1;Raphael;4
2009;20518;1;Marco;1
2013;20923;1;Mario;1
2009;20643;2;Leonie;3
2008;20405;1;Luca;1
2010;20201;1;Jeremias;1
2012;20909;1;Mark;1
2009;20702;2;Mia;2
2006;20711;2;;27
2012;20520;1;Lorenz;1
2009;20725;1;Sandro;1
2014;20501;2;Sophia;1
2014;20320;1;Martin;1
2009;20101;1;Ryan;1
2009;20501;1;Jonas;1
2012;21010;1;Lukas;1
2009;20201;1;Simon;1
2009;20101;2;Saphira;2
2013;20639;2;Leana;1
2009;20412;2;Lea;1
2011;20428;2;Verena;1
2012;20201;2;Tuana;1
2012;21002;2;Analena;1
2011;20101;1;Angelo;1
2012;20724;2;Ayleen;1
2014;20722;1;Damian;1
2004;20520;1;;3
2014;20201;1;Leo;1
2009;20711;1;Tobias;1
2010;20601;1;Marius;1
2010;20609;1;Jakob;1
2009;20502;1;Sebastian;1
2008;20726;1;Leon;1
2008;20201;1;Cristiano;1
2012;20201;2;Leonie;3
2008;20101;1;Nino;2
2010;20515;1;Dennis;1
2013;20923;1;Moritz;1
2010;20534;1;Maximilian;1
2011;20530;1;Jonas;1
2010;20512;1;Jonas;1
2014;20201;2;Helena;4
2009;20804;1;Aeneas;1
2014;20727;1;Raphael;2
2011;20812;1;Tobias;1
2011;20405;1;Jaron;1
2008;20201;2;Hannah;7
2011;20803;1;Kilian;1
2011;20806;2;Leonie;1
2010;21007;1;Nico;1
2014;20201;2;Erblina;1
2009;20608;1;Marko;1
2014;20725;1;Benno;1
2012;20405;2;Nina;1
2008;21003;1;Julian;2
2013;20402;1;Matthias;2
2011;20101;2;Marie;10
2012;20817;2;Katharina;1
2011;20101;2;Tamara;1
2014;20619;2;Stefanie;1
2010;20913;2;Marie;2
2010;20527;1;Gabriel;1
2008;20901;2;Marah;1
2014;20435;2;Raphaela;1
2011;20414;2;Emely;1
2008;20727;1;Thomas;1
2009;20425;2;Franziska;1
2009;20634;1;Julian;1
2010;20812;2;Emma;1
2007;20608;1;;12
2008;20306;1;Oliver;1
2008;20101;1;Kian;1
2013;20305;2;Paulina;1
2013;20923;1;Matthias;1
2010;20201;1;Nico;5
2012;20808;1;Jakob;1
2012;20515;1;David;1
2008;20635;1;Florian;2
2014;20923;1;Rafael;1
2011;20305;1;Leon;1
2012;20806;2;Lea;1
2011;20616;2;Isabel;1
2013;20724;2;Hannah-franziska;1
2010;20101;1;Jan-lukas;1
2011;20419;2;Selma;1
2013;20101;2;Maria;1
2004;20511;2;;3
2013;20635;1;Jeremia;1
2008;20923;2;Flora;1
2010;21009;2;Latisha;1
2008;20415;2;Maria;1
2009;21009;1;;1
2008;20418;2;Anna-maria;1
2013;20101;2;Leni;1
2009;20602;2;Valentina;1
2014;20201;2;Melissa;2
2012;20320;1;Simon;1
2011;20632;2;Carina;1
2008;20711;1;Lucas;1
2008;20502;1;Noah;1
2008;21002;2;Anna-sophie;1
2014;20923;1;Luca;2
2010;20636;1;Luca;1
2008;20415;2;Carla;1
2011;20720;2;Leonie;1
2014;20602;1;Martin;1
2011;20201;2;Anna;6
2012;20101;1;Nico;7
2008;20523;1;Sebastian;1
2008;20527;2;Hellin;1
2009;20644;1;Julian;1
2008;20808;2;Hanna;1
2011;20527;2;Laura;1
2009;20101;1;Jakob;6
2009;21003;1;Elias;1
2009;20817;1;Niklas;3
2011;20307;2;Rana;1
2012;20421;2;Mia;1
2010;20101;2;Angelina;1
2009;20512;2;Michelle;1
2010;20923;2;Victoria;1
2014;20923;1;Tobias;3
2010;20634;2;Charleen;1
2013;21002;2;Rosalie;2
2011;20635;1;Felix;1
2012;20705;2;Kimberly;1
2011;20409;2;Eloni;1
2012;20634;1;Flynn;1
2008;20817;2;Jinny;1
2010;20402;1;Philip;1
2009;20719;1;Mika;1
2013;21005;2;Anna-lena;1
2012;20913;2;Elina;2
2013;20634;2;Valentina;1
2009;20508;2;Nina;1
2012;20923;2;Leonie;3
2009;20639;1;Lorenz;1
2014;20812;1;Maximilian;1
2004;20631;2;;8
2010;20534;1;Simon;1
2013;20634;2;Angelina;1
2012;20412;1;Tobias;1
2012;20201;1;Michael;1
2014;20101;1;Joel;1
2009;20725;2;Miriam;1
2013;21003;1;Lukas;1
2012;20609;1;Tobias;1
2012;20101;2;Hui;1
2007;20320;1;;1
2013;20501;2;Laura;1
2013;20720;1;Lukas;2
2008;20725;2;Marie-therese;1
2011;20633;2;Leonie;1
2010;20101;2;Dilayla;1
2013;20627;2;Lia;1
2008;20808;1;Franz;1
2008;20307;1;Luis;1
2009;20501;2;Victoria;1
2009;20643;1;Samuel;1
2008;20425;2;Elena;1
2008;20509;1;Sebastian;1
2004;20321;1;;14
2010;20509;1;Simon;1
2011;20424;1;Johannes;1
2013;20101;1;Samuel;7
2008;21002;1;Jonas;1
2009;20442;2;Celin;1
2009;21002;2;Lara;1
2008;20711;2;Lea-sophie;1
2013;20425;1;Luca;1
2009;20702;1;Kilian;1
2010;20724;1;Maximilian;2
2012;20813;2;Ina;1
2009;20504;1;Dennis;1
2012;20609;1;Oliver;1
2009;20611;2;Isabella;1
2011;20320;2;Rebekka;1
2011;20534;1;Niklas;1
2011;20808;2;Anna-sophie;1
2009;20630;1;Jan;1
2011;20101;1;Mio;1
2008;20523;1;Adrian;1
2011;20403;2;Celine;1
2012;20101;2;Annabella;1
2013;20201;2;Debora;1
2008;20723;1;;1
2010;21002;1;Abdullah;1
2009;20201;1;Samuel;5
2008;21009;2;Mira;1
2013;20502;1;Paul;1
2010;20421;1;Fabian;1
2008;21002;1;;4
2012;20817;2;Ashly;1
2010;20619;2;Valentina;1
2008;21003;1;Marcel;1
2009;20305;1;Rafael;1
2008;20101;1;Travis;1
2010;20530;1;Elias;1
2008;20527;1;Noah;1
2013;20805;2;Saphira;1
2009;20201;1;Konrad;1
2013;20712;2;Marlena;1
2011;20101;1;Prestley;1
2009;20101;2;Kiara;1
2009;20725;1;Arian;1
2014;20609;1;Fabian;1
2013;20725;1;Marco;1
2010;20523;1;Leon;1
2013;20635;2;Clara;1
2014;20923;2;Adela;1
2011;20710;2;Shina;1
2010;20101;2;Lina;2
2009;20720;1;Marcel;1
2013;20307;1;David;1
2010;20803;2;Teresa;1
2007;20306;1;;3
2010;20620;2;Marie;1
2014;20701;2;Klara;1
2014;20201;2;Sophia;6
2013;20405;2;Elisabeth;1
2011;20527;2;Marie;4
2006;20634;1;;14
2008;20913;2;Sophia;1
2006;20607;1;;4
2012;20201;1;Dominik;1
2012;20720;1;Sebastian;1
2012;20625;2;Linda;1
2009;20402;1;Fabio;1
2007;20810;2;;4
2010;20632;2;Vanessa;1
2009;20415;1;Oliver;1
2012;20726;1;Fabian;1
2013;20402;2;Katarina;1
2011;20201;1;Ilaz;1
2008;20705;1;Simon;1
2006;20918;1;;21
2013;20913;2;Annalena;1
2010;20642;2;Anja;1
2009;20201;1;Luca;6
2013;20518;1;Maximilian;1
2012;20720;1;Joshua;1
2011;20635;2;Mia;1
2008;20201;1;Nicolas;2
2009;20505;1;Fritz;1
2011;20307;1;Florian;1
2012;20527;2;Leonie;2
2013;20412;2;Emelie;1
2013;20534;1;Adam;1
2012;20415;1;David;1
2010;20701;1;Leon;1
2008;20923;1;Jakob;2
2003;20320;2;;10
2010;20923;2;G?ls?m;1
2008;20801;1;Daniel;1
2011;20101;1;Andreas;1
2012;20913;1;Mathias;1
2009;20727;2;Katharina;1
2003;20702;1;;24
2012;20923;2;Valerie;1
2014;20201;1;Konstantin;2
2010;20402;1;Florian;2
2012;20808;2;Celine;1
2008;20817;2;Lena;2
2003;20802;1;;4
2014;20201;2;Zoe;1
2011;20635;1;Gabriel;2
2009;20101;1;Antonio;1
2008;20923;1;Niko;1
2011;20201;2;Theresa;2
2011;21007;2;Annika;1
2010;20913;2;Emely;2
2008;21009;2;Isabel;1
2010;21002;1;Luca;1
2013;21002;1;Dominik;1
2011;20817;1;Felix;1
2012;20201;1;Laurenz;1
2010;20101;1;Ermin;1
2014;20101;1;Benjamin;8
2008;20817;2;Selina;1
2009;21002;1;Thomas;1
2009;20201;1;Bastian;1
2008;20804;1;Stefan;1
2014;20923;1;Hemen;1
2013;20502;2;Sophie;1
2010;20913;1;Martin;3
2005;20403;2;;13
2011;21005;2;Tilda;1
2010;20501;2;Lara;1
2014;20527;1;Moritz;1
2012;21002;1;Leon;4
2008;20101;2;Maria;1
2008;20506;1;Michael;1
2013;20101;1;Robin;1
2012;20403;1;Ajdin;1
2004;20817;1;;49
2009;20634;2;Sophie;1
2014;20638;1;Jakob;1
2011;20722;1;G?nther;1
2013;20723;2;Sophia;1
2013;20101;1;Marian;2
2008;20405;2;Nina;1
2013;20416;1;Felix;1
2008;20515;2;Lisa;1
2013;20418;1;Harald;1
2010;20101;1;Zejd;1
2003;20630;1;;26
2011;20817;1;Diego;1
2010;21006;2;Isabell;1
2011;20418;1;Maximilian;1
2009;20635;2;Maida;1
2013;20101;1;Kolos;1
2008;20702;2;Katja;1
2009;20635;1;Tobias;2
2008;20101;1;Oskar;1
2011;20506;2;Elina;1
2013;20435;2;Laureen;1
2008;20913;1;Martin;4
2008;20722;2;Valentina;1
2010;20320;1;Jonas;1
2008;20721;1;Emanuel;1
2013;20616;1;Jonathan;1
2008;20505;1;Felix;2
2011;20305;1;Johannes;1
2014;20417;1;Florian;1
2011;20635;2;Yara;1
2007;21001;1;;2
2010;20201;2;Ella;1
2011;20505;1;Sebastian;1
2004;20534;2;;11
2011;20101;1;Isidor;1
2005;20701;2;;6
